t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.110200444,0.128925497,0.109010027,,
120,0.073502661,0.091073838,0.08129023,,
240,0.042514052,0.050585835,0.048085462,,
360,0.027939523,0.033832716,0.034566187,,
