t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.249882114,0.269067441,0.172305834,,
120,0.058090947,0.067468741,0.061318899,,
240,0.035607272,0.045004122,0.046610608,,
360,0.026827015,0.031076119,0.03296831,,
