t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.175665494,0.163288458,0.125492463,,
120,0.096790903,0.1069599,0.09338869,,
240,0.070834464,0.079743091,0.077609178,,
360,0.055891149,0.067167829,0.064301277,,
600,0.020850558,0.025220938,0.020023781,0.59826366,1.79479098
