t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.148168798,0.172938316,0.145951022,,
120,0.059216351,0.066578803,0.059201425,,
240,0.03883872,0.048975119,0.052107295,,
