t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.110655413,0.137447174,0.110872015,,
120,0.093913055,0.11637437,0.108617561,,
240,0.040479139,0.051213409,0.04835939,,
360,0.028790452,0.032531003,0.03305358,,
