,t,Q,T
7210,0.0,6.0,35.0
7211,1.0,6.0,35.0
7212,2.0,6.0,35.0
7213,3.0,6.0,35.0
7214,4.0,6.0,35.0
7215,5.0,6.0,35.0
7216,6.0,6.0,35.0
7217,7.0,6.0,34.0
7218,8.0,6.0,35.0
7219,9.0,6.0,35.0
7220,10.0,6.0,35.0
7221,11.0,6.0,35.0
7222,12.0,6.0,35.0
7223,13.0,6.0,35.0
7224,14.0,6.0,36.0
7225,15.0,6.0,35.0
7226,16.0,6.0,36.0
7227,17.0,6.0,35.0
7228,18.0,6.0,36.0
7229,19.0,6.0,35.0
7230,20.0,6.0,36.0
7231,21.0,6.0,36.0
7232,22.0,6.0,36.0
7233,23.0,6.0,36.0
7234,24.0,6.0,36.0
7235,25.0,6.0,36.0
7236,26.0,6.0,36.0
7237,27.0,6.0,36.0
7238,28.0,6.0,37.0
7239,29.0,6.0,37.0
7240,30.0,6.0,37.0
7241,31.0,6.0,37.0
7242,32.0,6.0,37.0
7243,33.0,6.0,37.0
7244,34.0,6.0,38.0
7245,35.0,6.0,37.0
7246,36.0,6.0,37.0
7247,37.0,6.0,38.0
7248,38.0,6.0,38.0
7249,39.0,6.0,38.0
7250,40.0,6.0,38.0
7251,41.0,6.0,38.0
7252,42.0,6.0,39.0
7253,43.0,6.0,39.0
7254,44.0,6.0,38.0
7255,45.0,6.0,39.0
7256,46.0,6.0,39.0
7257,47.0,6.0,39.0
7258,48.0,6.0,39.0
7259,49.0,6.0,39.0
7260,50.0,6.0,39.0
7261,51.0,6.0,39.0
7262,52.0,6.0,39.0
7263,53.0,6.0,40.0
7264,54.0,6.0,40.0
7265,55.0,6.0,40.0
7266,56.0,6.0,40.0
7267,57.0,6.0,40.0
7268,58.0,6.0,40.0
7269,59.0,6.0,41.0
7270,60.0,6.0,40.0
7271,61.0,6.0,41.0
7272,62.0,6.0,41.0
7273,63.0,6.0,41.0
7274,64.0,6.0,41.0
7275,65.0,6.0,41.0
7276,66.0,6.0,41.0
7277,67.0,6.0,41.0
7278,68.0,6.0,41.0
7279,69.0,6.0,42.0
7280,70.0,6.0,41.0
7281,71.0,6.0,41.0
7282,72.0,6.0,42.0
7283,73.0,6.0,42.0
7284,74.0,6.0,42.0
7285,75.0,6.0,42.0
7286,76.0,6.0,43.0
7287,77.0,6.0,43.0
7288,78.0,6.0,43.0
7289,79.0,6.0,43.0
7290,80.0,6.0,43.0
7291,81.0,6.0,43.0
7292,82.0,6.0,44.0
7293,83.0,6.0,43.0
7294,84.0,6.0,43.0
7295,85.0,6.0,44.0
7296,86.0,6.0,44.0
7297,87.0,6.0,44.0
7298,88.0,6.0,44.0
7299,89.0,6.0,44.0
7300,90.0,6.0,44.0
7301,91.0,6.0,44.0
7302,92.0,6.0,45.0
7303,93.0,6.0,45.0
7304,94.0,6.0,44.0
7305,95.0,6.0,45.0
7306,96.0,6.0,45.0
7307,97.0,6.0,45.0
7308,98.0,6.0,45.0
7309,99.0,6.0,45.0
7310,100.0,6.0,45.0
7311,101.0,6.0,46.0
7312,102.0,6.0,46.0
7313,103.0,6.0,45.0
7314,104.0,6.0,46.0
7315,105.0,6.0,46.0
7316,106.0,6.0,46.0
7317,107.0,6.0,46.0
7318,108.0,6.0,46.0
7319,109.0,6.0,47.0
7320,110.0,6.0,47.0
7321,111.0,6.0,47.0
7322,112.0,6.0,47.0
7323,113.0,6.0,47.0
7324,114.0,6.0,47.0
7325,115.0,6.0,47.0
7326,116.0,6.0,48.0
7327,117.0,6.0,47.0
7328,118.0,6.0,48.0
7329,119.0,6.0,48.0
7330,120.0,6.0,48.0
7331,121.0,6.0,48.0
7332,122.0,6.0,48.0
7333,123.0,6.0,48.0
7334,124.0,6.0,48.0
7335,125.0,6.0,49.0
7336,126.0,6.0,49.0
7337,127.0,6.0,49.0
7338,128.0,6.0,49.0
7339,129.0,6.0,49.0
7340,130.0,6.0,49.0
7341,131.0,6.0,49.0
7342,132.0,6.0,50.0
7343,133.0,6.0,50.0
7344,134.0,6.0,50.0
7345,135.0,6.0,50.0
7346,136.0,6.0,50.0
7347,137.0,6.0,50.0
7348,138.0,6.0,50.0
7349,139.0,6.0,50.0
7350,140.0,6.0,51.0
7351,141.0,6.0,50.0
7352,142.0,6.0,51.0
7353,143.0,6.0,51.0
7354,144.0,6.0,51.0
7355,145.0,6.0,51.0
7356,146.0,6.0,51.0
7357,147.0,6.0,51.0
7358,148.0,6.0,52.0
7359,149.0,6.0,51.0
7360,150.0,6.0,52.0
7361,151.0,6.0,52.0
7362,152.0,6.0,52.0
7363,153.0,6.0,52.0
7364,154.0,6.0,52.0
7365,155.0,6.0,53.0
7366,156.0,6.0,53.0
7367,157.0,6.0,52.0
7368,158.0,6.0,53.0
7369,159.0,6.0,53.0
7370,160.0,6.0,52.0
7371,161.0,6.0,53.0
7372,162.0,6.0,53.0
7373,163.0,6.0,53.0
7374,164.0,6.0,53.0
7375,165.0,6.0,53.0
7376,166.0,6.0,54.0
7377,167.0,6.0,54.0
7378,168.0,6.0,54.0
7379,169.0,6.0,54.0
7380,170.0,6.0,54.0
7381,171.0,6.0,54.0
7382,172.0,6.0,54.0
7383,173.0,6.0,54.0
7384,174.0,6.0,55.0
7385,175.0,6.0,54.0
7386,176.0,6.0,54.0
7387,177.0,6.0,55.0
7388,178.0,6.0,55.0
7389,179.0,6.0,55.0
7390,180.0,6.0,55.0
7391,181.0,6.0,55.0
7392,182.0,6.0,55.0
7393,183.0,6.0,55.0
7394,184.0,6.0,55.0
7395,185.0,6.0,55.0
7396,186.0,6.0,56.0
7397,187.0,6.0,55.0
7398,188.0,6.0,56.0
7399,189.0,6.0,56.0
7400,190.0,6.0,56.0
7401,191.0,6.0,56.0
7402,192.0,6.0,56.0
7403,193.0,6.0,56.0
7404,194.0,6.0,56.0
7405,195.0,6.0,57.0
7406,196.0,6.0,57.0
7407,197.0,6.0,57.0
7408,198.0,6.0,57.0
7409,199.0,6.0,57.0
7410,200.0,6.0,57.0
7411,201.0,6.0,57.0
7412,202.0,6.0,57.0
7413,203.0,6.0,57.0
7414,204.0,6.0,58.0
7415,205.0,6.0,58.0
7416,206.0,6.0,58.0
7417,207.0,6.0,58.0
7418,208.0,6.0,58.0
7419,209.0,6.0,58.0
7420,210.0,6.0,58.0
7421,211.0,6.0,58.0
7422,212.0,6.0,58.0
7423,213.0,6.0,59.0
7424,214.0,6.0,59.0
7425,215.0,6.0,59.0
