,t,Q,T
3155,212.0,4.0,47.0
3156,213.0,4.0,46.0
3157,214.0,4.0,46.0
3158,215.0,4.0,46.0
3159,216.0,4.0,46.0
3160,217.0,4.0,47.0
3161,218.0,4.0,46.0
3162,219.0,4.0,47.0
3163,220.0,4.0,47.0
3164,221.0,4.0,47.0
3165,222.0,4.0,47.0
3166,223.0,4.0,47.0
3167,224.0,4.0,47.0
3168,225.0,4.0,47.0
3169,226.0,4.0,47.0
3170,227.0,4.0,47.0
3171,228.0,4.0,47.0
3172,229.0,4.0,47.0
3173,230.0,4.0,47.0
3174,231.0,4.0,47.0
3175,232.0,4.0,47.0
3176,233.0,4.0,48.0
3177,234.0,4.0,48.0
3178,235.0,4.0,47.0
3179,236.0,4.0,48.0
3180,237.0,4.0,48.0
3181,238.0,4.0,48.0
3182,239.0,4.0,48.0
3183,240.0,4.0,48.0
3184,241.0,4.0,48.0
3185,242.0,4.0,48.0
3186,243.0,4.0,48.0
3187,244.0,4.0,48.0
3188,245.0,4.0,48.0
3189,246.0,4.0,48.0
3190,247.0,4.0,48.0
3191,248.0,4.0,48.0
3192,249.0,4.0,49.0
3193,250.0,4.0,48.0
3194,251.0,4.0,48.0
3195,252.0,4.0,48.0
3196,253.0,4.0,49.0
3197,254.0,4.0,48.0
3198,255.0,4.0,49.0
3199,256.0,4.0,48.0
3200,257.0,4.0,49.0
3201,258.0,4.0,49.0
3202,259.0,4.0,49.0
3203,260.0,4.0,49.0
3204,261.0,4.0,48.0
3205,262.0,4.0,49.0
3206,263.0,4.0,49.0
3207,264.0,4.0,49.0
3208,265.0,4.0,49.0
3209,266.0,4.0,49.0
3210,267.0,4.0,49.0
3211,268.0,4.0,49.0
3212,269.0,4.0,49.0
3213,270.0,4.0,49.0
3214,271.0,4.0,49.0
3215,272.0,4.0,49.0
3216,273.0,4.0,49.0
3217,274.0,4.0,50.0
3218,275.0,4.0,49.0
3219,276.0,4.0,50.0
3220,277.0,4.0,49.0
3221,278.0,4.0,49.0
3222,279.0,4.0,50.0
3223,280.0,4.0,49.0
3224,281.0,4.0,49.0
3225,282.0,4.0,50.0
3226,283.0,4.0,50.0
3227,284.0,4.0,50.0
3228,285.0,4.0,50.0
3229,286.0,4.0,50.0
3230,287.0,4.0,50.0
3231,288.0,4.0,50.0
3232,289.0,4.0,50.0
3233,290.0,4.0,50.0
3234,291.0,4.0,50.0
3235,292.0,4.0,50.0
3236,293.0,4.0,50.0
3237,294.0,4.0,51.0
3238,295.0,4.0,50.0
3239,296.0,4.0,50.0
3240,297.0,4.0,51.0
3241,298.0,4.0,50.0
3242,299.0,4.0,50.0
3243,300.0,4.0,50.0
3244,301.0,4.0,50.0
3245,302.0,4.0,51.0
3246,303.0,4.0,51.0
3247,304.0,4.0,50.0
3248,305.0,4.0,51.0
3249,306.0,4.0,50.0
3250,307.0,4.0,51.0
3251,308.0,4.0,51.0
3252,309.0,4.0,50.0
3253,310.0,4.0,51.0
3254,311.0,4.0,51.0
3255,312.0,4.0,51.0
3256,313.0,4.0,51.0
3257,314.0,4.0,51.0
3258,315.0,4.0,51.0
3259,316.0,4.0,51.0
3260,317.0,4.0,51.0
3261,318.0,4.0,51.0
3262,319.0,4.0,51.0
3263,320.0,4.0,51.0
3264,321.0,4.0,51.0
3265,322.0,4.0,51.0
3266,323.0,4.0,51.0
3267,324.0,4.0,51.0
3268,325.0,4.0,51.0
3269,326.0,4.0,51.0
3270,327.0,4.0,52.0
3271,328.0,4.0,52.0
3272,329.0,4.0,51.0
3273,330.0,4.0,52.0
3274,331.0,4.0,52.0
3275,332.0,4.0,51.0
3276,333.0,4.0,52.0
3277,334.0,4.0,52.0
3278,335.0,4.0,52.0
3279,336.0,4.0,52.0
3280,337.0,4.0,52.0
3281,338.0,4.0,52.0
3282,339.0,4.0,52.0
3283,340.0,4.0,52.0
3284,341.0,4.0,52.0
3285,342.0,4.0,52.0
3286,343.0,4.0,52.0
3287,344.0,4.0,52.0
3288,345.0,4.0,53.0
3289,346.0,4.0,52.0
3290,347.0,4.0,52.0
3291,348.0,4.0,52.0
3292,349.0,4.0,52.0
3293,350.0,4.0,52.0
3294,351.0,4.0,53.0
3295,352.0,4.0,52.0
3296,353.0,4.0,52.0
3297,354.0,4.0,52.0
3298,355.0,4.0,52.0
3299,356.0,4.0,53.0
3300,357.0,4.0,53.0
3301,358.0,4.0,53.0
3302,359.0,4.0,53.0
3303,360.0,4.0,52.0
3304,361.0,4.0,52.0
3305,362.0,4.0,52.0
3306,363.0,4.0,53.0
3307,364.0,4.0,53.0
3308,365.0,4.0,53.0
3309,366.0,4.0,53.0
3310,367.0,4.0,53.0
3311,368.0,4.0,53.0
3312,369.0,4.0,53.0
3313,370.0,4.0,53.0
3314,371.0,4.0,53.0
3315,372.0,4.0,53.0
3316,373.0,4.0,53.0
3317,374.0,4.0,53.0
3318,375.0,4.0,53.0
3319,376.0,4.0,53.0
3320,377.0,4.0,53.0
3321,378.0,4.0,54.0
3322,379.0,4.0,53.0
3323,380.0,4.0,53.0
3324,381.0,4.0,53.0
3325,382.0,4.0,53.0
3326,383.0,4.0,53.0
3327,384.0,4.0,53.0
3328,385.0,4.0,53.0
3329,386.0,4.0,53.0
3330,387.0,4.0,53.0
3331,388.0,4.0,54.0
