t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.145640475,0.164214876,0.136848163,,
120,0.070304204,0.085520268,0.074195308,,
240,0.032127806,0.038306756,0.038267356,,
