,t,Q,T
6967,0.0,6.0,34.0
6968,1.0,6.0,35.0
6969,2.0,6.0,35.0
6970,3.0,6.0,34.0
6971,4.0,6.0,34.0
6972,5.0,6.0,35.0
6973,6.0,6.0,35.0
6974,7.0,6.0,34.0
6975,8.0,6.0,35.0
6976,9.0,6.0,34.0
6977,10.0,6.0,35.0
6978,11.0,6.0,35.0
6979,12.0,6.0,35.0
6980,13.0,6.0,35.0
6981,14.0,6.0,35.0
6982,15.0,6.0,35.0
6983,16.0,6.0,35.0
6984,17.0,6.0,35.0
6985,18.0,6.0,36.0
6986,19.0,6.0,35.0
6987,20.0,6.0,36.0
6988,21.0,6.0,35.0
6989,22.0,6.0,36.0
6990,23.0,6.0,36.0
6991,24.0,6.0,36.0
6992,25.0,6.0,37.0
6993,26.0,6.0,36.0
6994,27.0,6.0,36.0
6995,28.0,6.0,37.0
6996,29.0,6.0,36.0
6997,30.0,6.0,37.0
6998,31.0,6.0,36.0
6999,32.0,6.0,37.0
7000,33.0,6.0,37.0
7001,34.0,6.0,37.0
7002,35.0,6.0,37.0
7003,36.0,6.0,38.0
7004,37.0,6.0,37.0
7005,38.0,6.0,38.0
7006,39.0,6.0,38.0
7007,40.0,6.0,38.0
7008,41.0,6.0,38.0
7009,42.0,6.0,38.0
7010,43.0,6.0,39.0
7011,44.0,6.0,39.0
7012,45.0,6.0,39.0
7013,46.0,6.0,39.0
7014,47.0,6.0,39.0
7015,48.0,6.0,39.0
7016,49.0,6.0,39.0
7017,50.0,6.0,39.0
7018,51.0,6.0,40.0
7019,52.0,6.0,39.0
7020,53.0,6.0,40.0
7021,54.0,6.0,40.0
7022,55.0,6.0,40.0
7023,56.0,6.0,40.0
7024,57.0,6.0,40.0
7025,58.0,6.0,41.0
7026,59.0,6.0,40.0
7027,60.0,6.0,41.0
7028,61.0,6.0,41.0
7029,62.0,6.0,41.0
7030,63.0,6.0,41.0
7031,64.0,6.0,41.0
7032,65.0,6.0,41.0
7033,66.0,6.0,42.0
7034,67.0,6.0,42.0
7035,68.0,6.0,42.0
7036,69.0,6.0,42.0
7037,70.0,6.0,42.0
7038,71.0,6.0,42.0
7039,72.0,6.0,42.0
7040,73.0,6.0,43.0
7041,74.0,6.0,43.0
7042,75.0,6.0,43.0
7043,76.0,6.0,43.0
7044,77.0,6.0,43.0
7045,78.0,6.0,43.0
7046,79.0,6.0,43.0
7047,80.0,6.0,43.0
7048,81.0,6.0,44.0
7049,82.0,6.0,43.0
7050,83.0,6.0,44.0
