t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.298577532,0.277327253,0.172871587,,
120,0.060525743,0.076128305,0.062899004,,
240,0.050198685,0.065211091,0.058818181,,
360,0.033787817,0.039725208,0.03763345,,
600,0.022332447,0.025763997,0.027812443,0.59678177,1.79034531
