,t,Q,T
2344,0.0,4.0,33.0
2345,1.0,4.0,33.0
2346,2.0,4.0,33.0
2347,3.0,4.0,33.0
2348,4.0,4.0,33.0
2349,5.0,4.0,33.0
2350,6.0,4.0,33.0
2351,7.0,4.0,33.0
2352,8.0,4.0,33.0
2353,9.0,4.0,34.0
2354,10.0,4.0,33.0
2355,11.0,4.0,33.0
2356,12.0,4.0,34.0
2357,13.0,4.0,34.0
2358,14.0,4.0,34.0
2359,15.0,4.0,34.0
2360,16.0,4.0,34.0
2361,17.0,4.0,34.0
2362,18.0,4.0,34.0
2363,19.0,4.0,34.0
2364,20.0,4.0,34.0
2365,21.0,4.0,34.0
2366,22.0,4.0,34.0
2367,23.0,4.0,34.0
2368,24.0,4.0,34.0
2369,25.0,4.0,34.0
2370,26.0,4.0,34.0
2371,27.0,4.0,34.0
2372,28.0,4.0,35.0
2373,29.0,4.0,34.0
2374,30.0,4.0,34.0
2375,31.0,4.0,35.0
2376,32.0,4.0,35.0
2377,33.0,4.0,34.0
2378,34.0,4.0,35.0
2379,35.0,4.0,35.0
2380,36.0,4.0,35.0
2381,37.0,4.0,35.0
2382,38.0,4.0,35.0
2383,39.0,4.0,35.0
2384,40.0,4.0,35.0
2385,41.0,4.0,35.0
2386,42.0,4.0,35.0
2387,43.0,4.0,35.0
2388,44.0,4.0,35.0
2389,45.0,4.0,35.0
2390,46.0,4.0,35.0
2391,47.0,4.0,35.0
2392,48.0,4.0,35.0
2393,49.0,4.0,35.0
2394,50.0,4.0,36.0
2395,51.0,4.0,36.0
2396,52.0,4.0,35.0
2397,53.0,4.0,35.0
2398,54.0,4.0,36.0
2399,55.0,4.0,36.0
2400,56.0,4.0,36.0
2401,57.0,4.0,36.0
2402,58.0,4.0,36.0
2403,59.0,4.0,36.0
2404,60.0,4.0,36.0
2405,61.0,4.0,36.0
2406,62.0,4.0,36.0
2407,63.0,4.0,36.0
2408,64.0,4.0,36.0
2409,65.0,4.0,36.0
2410,66.0,4.0,37.0
2411,67.0,4.0,36.0
2412,68.0,4.0,37.0
2413,69.0,4.0,37.0
2414,70.0,4.0,36.0
2415,71.0,4.0,37.0
2416,72.0,4.0,36.0
2417,73.0,4.0,37.0
2418,74.0,4.0,37.0
2419,75.0,4.0,37.0
