t,TG,DG,MG,G,ME
0,0.61911421,0.040004937,0.000394678,,
60,0.180070545,0.186121152,0.136004584,,
120,0.060201354,0.079514074,0.067030146,,
240,0.046023217,0.061733422,0.063074749,,
