,t,Q,T
5410,0.0,5.0,34.0
5411,1.0,5.0,34.0
5412,2.0,5.0,35.0
5413,3.0,5.0,34.0
5414,4.0,5.0,35.0
5415,5.0,5.0,35.0
5416,6.0,5.0,35.0
5417,7.0,5.0,34.0
5418,8.0,5.0,35.0
5419,9.0,5.0,35.0
5420,10.0,5.0,35.0
5421,11.0,5.0,35.0
5422,12.0,5.0,35.0
5423,13.0,5.0,35.0
5424,14.0,5.0,34.0
5425,15.0,5.0,35.0
5426,16.0,5.0,35.0
5427,17.0,5.0,35.0
5428,18.0,5.0,35.0
5429,19.0,5.0,35.0
5430,20.0,5.0,35.0
5431,21.0,5.0,36.0
5432,22.0,5.0,36.0
5433,23.0,5.0,36.0
5434,24.0,5.0,36.0
5435,25.0,5.0,36.0
5436,26.0,5.0,35.0
5437,27.0,5.0,36.0
5438,28.0,5.0,36.0
5439,29.0,5.0,36.0
5440,30.0,5.0,36.0
5441,31.0,5.0,36.0
5442,32.0,5.0,36.0
5443,33.0,5.0,37.0
5444,34.0,5.0,36.0
5445,35.0,5.0,37.0
5446,36.0,5.0,36.0
5447,37.0,5.0,37.0
5448,38.0,5.0,37.0
5449,39.0,5.0,37.0
5450,40.0,5.0,37.0
5451,41.0,5.0,37.0
5452,42.0,5.0,37.0
5453,43.0,5.0,37.0
5454,44.0,5.0,38.0
5455,45.0,5.0,37.0
5456,46.0,5.0,37.0
5457,47.0,5.0,38.0
5458,48.0,5.0,38.0
5459,49.0,5.0,38.0
5460,50.0,5.0,38.0
5461,51.0,5.0,38.0
5462,52.0,5.0,38.0
5463,53.0,5.0,38.0
5464,54.0,5.0,39.0
5465,55.0,5.0,39.0
5466,56.0,5.0,38.0
5467,57.0,5.0,39.0
5468,58.0,5.0,39.0
5469,59.0,5.0,39.0
5470,60.0,5.0,39.0
5471,61.0,5.0,39.0
5472,62.0,5.0,39.0
5473,63.0,5.0,39.0
5474,64.0,5.0,39.0
5475,65.0,5.0,39.0
5476,66.0,5.0,40.0
5477,67.0,5.0,40.0
5478,68.0,5.0,40.0
5479,69.0,5.0,40.0
5480,70.0,5.0,40.0
5481,71.0,5.0,40.0
5482,72.0,5.0,40.0
5483,73.0,5.0,40.0
5484,74.0,5.0,40.0
5485,75.0,5.0,41.0
5486,76.0,5.0,40.0
5487,77.0,5.0,41.0
5488,78.0,5.0,40.0
5489,79.0,5.0,41.0
5490,80.0,5.0,41.0
5491,81.0,5.0,41.0
5492,82.0,5.0,41.0
5493,83.0,5.0,41.0
5494,84.0,5.0,41.0
5495,85.0,5.0,41.0
5496,86.0,5.0,41.0
5497,87.0,5.0,41.0
5498,88.0,5.0,41.0
5499,89.0,5.0,42.0
5500,90.0,5.0,42.0
5501,91.0,5.0,42.0
5502,92.0,5.0,42.0
5503,93.0,5.0,42.0
