,t,TG,DG,MG,G,ME,T
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0,33.62399673461914
1,0.5,0.6145631016765778,0.043952866020169096,0.0009899987621540974,7.858541098960216e-06,0.00516214616777417,33.65414475990259
2,1.0,0.6100033079036541,0.04784932646716786,0.0016382870023402569,2.2903626837705817e-05,0.01040031835236149,33.684275153527274
3,1.5,0.6054354110343945,0.05169390122863581,0.0023386894155853237,4.582332138427523e-05,0.015714457023959284,33.714387779663404
4,2.0,0.600860181196686,0.055486034391461096,0.003090303723730964,7.730568812180615e-05,0.02110426590328844,33.74448257635355
5,2.5,0.5962785746081216,0.05922504154115452,0.0038921716830417202,0.00011803716768211648,0.026569203410284306,33.774559557895564
6,3.0,0.5916916805864803,0.06291016452502139,0.004743278829742963,0.00016870105875532975,0.0321085323607733,33.80461879577882
7,3.5,0.5871006762593995,0.06654061661032372,0.005642556020158851,0.00022997611011787067,0.03772136398099503,33.83466040200331
8,4.0,0.5825068220744546,0.07011559033570529,0.006588877688593191,0.00030253490124690884,0.04340665741663239,33.86468452907966
9,4.5,0.5779114020999102,0.07363431160719261,0.007581068504114685,0.0003870427887824202,0.04916328398176924,33.89469134619936
10,5.0,0.5733157327213982,0.077096033324363,0.008617902553372568,0.00048415640086615724,0.05499001463370661,33.924681044000685
11,5.5,0.5687211111269034,0.08050007916836184,0.00969811177250785,0.0005945229322268728,0.06088557851005816,33.954653813121936
12,6.0,0.5641288147096227,0.08384584282320538,0.010820388377486773,0.000718779089685019,0.066848663847234,33.9846098442014
13,6.5,0.5595401004925021,0.08713278710058352,0.01198338734271099,0.0008575500642032461,0.07287791897861524,34.01454932787737
14,7.0,0.5549561676138627,0.09036047253544088,0.01318573550531121,0.0010114493453851365,0.07897199858221873,34.04447243810728
15,7.5,0.5503781793974039,0.09352853666636765,0.01442603130365594,0.0011810776325724972,0.08512953917139704,34.074379341699625
16,8.0,0.5458072428324898,0.0966367078669317,0.01570285165158471,0.0013670226489936735,0.09134918611708215,34.10427018878207
17,8.5,0.5412444097805365,0.09968480116449079,0.017014755370425537,0.0015698586845470778,0.0976295949589831,34.13414511280141
18,9.0,0.536690683303908,0.10267271018158325,0.018360285470600108,0.0017901460439084449,0.1039694262545088,34.164004232906585
19,9.5,0.5321470287786747,0.10560039579492238,0.019737970114177786,0.0020284303122249624,0.11036733395995285,34.1938476587146
20,10.0,0.5276143544947658,0.10846789823291311,0.02114632962564657,0.002285242646674395,0.11682199242422946,34.22367548077865
21,10.5,0.523093537946138,0.11127531427029412,0.02258387414982073,0.0025610986337469784,0.12333206547117653,34.25348778250299
22,11.0,0.5185854115181432,0.11402280557604373,0.024049109392700115,0.002856498513112798,0.12989622690078237,34.28328463299398
23,11.5,0.5140907733101356,0.11671058808659729,0.025540537045382453,0.003171926557884448,0.13651314885101556,34.31306609182611
24,12.0,0.509610387795252,0.11933892923692489,0.02705665714650441,0.0035078508213184914,0.1431815029938892,34.342832209041916
25,12.5,0.505145000757695,0.12190813515899174,0.028595966912280096,0.0038647221710330247,0.14989994249665103,34.37258303230098
26,13.0,0.5006953392607488,0.12441854914207663,0.03015696268602139,0.0042429739111529575,0.15666710324757832,34.40231860687989
27,13.5,0.4962621023145628,0.12687055647993223,0.03173814421055474,0.004643021994950025,0.16348161788589183,34.4320389709063
28,14.0,0.4918459705750112,0.12926457586744308,0.0333380142914829,0.005065264266062594,0.1703421042485967,34.461744160124894
29,14.5,0.48744760179350116,0.13160106089562665,0.03495508182403401,0.005510080486837984,0.17724717300420864,34.491434205514395
30,15.0,0.48306765365144944,0.13388048317275644,0.03658785762376834,0.005977830552025612,0.18419539707636998,34.52110914520246
31,15.5,0.4787067605075087,0.13610334682553601,0.03823486200574104,0.00646885566121404,0.19118534482066024,34.55076901255079
32,16.0,0.47436554252817725,0.1382701808277266,0.03989462414471724,0.0069834774993787156,0.19821556861529727,34.58041384092108
33,16.5,0.4700446098858448,0.1403815349840723,0.0415656824925164,0.007521997637566339,0.20528459988180417,34.61004366605802
34,17.0,0.46574455371595297,0.14243798445767822,0.04324658881129738,0.008084698015071255,0.21239096312548678,34.6396585213233
35,17.5,0.4614659504890587,0.14444012550347587,0.04493590856365485,0.008671840443810417,0.21953317096221686,34.66925844007862
36,18.0,0.4572093745666431,0.14638856646878676,0.04663221873300238,0.009283665231567543,0.2267097066294942,34.698843462834624
37,18.5,0.45297536392761906,0.14828394765165073,0.048334119178823,0.009920394241906987,0.23391907573501775,34.728413618187055
38,19.0,0.448764462595598,0.1501269138247482,0.050040221796463814,0.010582226783189753,0.24115974476724514,34.75796894664654
39,19.5,0.4445771785019329,0.15191813850459582,0.05174916426756443,0.011269343725906577,0.24843020521744447,34.787509476808836
40,20.0,0.44041401287792564,0.15365830475712308,0.05345960280156718,0.011981904563383853,0.25572893105040906,34.81703524203564
41,20.5,0.43627544375263877,0.15534811365605375,0.05517021838787482,0.01272004920343241,0.2630544050421007,34.84654627092269
42,21.0,0.4321619342726366,0.15698827800159904,0.05687971557511606,0.013483897150648043,0.27040510760377534,34.87604259206573
43,21.5,0.42807392486880824,0.1585795253943972,0.058586826140325766,0.014273548596468557,0.27777953046445447,34.90552422929455
44,22.0,0.4240118414111897,0.16012259226229744,0.06029030772990122,0.015089083596611427,0.2851761655119342,34.93499120643893
45,22.5,0.41997608377319706,0.16161822878180143,0.06198894862456491,0.015930563820436356,0.29259352449224035,34.96444354017972
46,23.0,0.41596703405091484,0.16306719291747454,0.0636815662353501,0.016798031796260278,0.3000301277769556,34.9938812448148
47,23.5,0.4119850605180566,0.1644702471409842,0.06536700676717691,0.017691510573782036,0.30748449939668415,35.02330433464204
48,24.0,0.4080305139708323,0.16582815924582023,0.06704414728371408,0.01861100449963319,0.314955174312148,35.05271282157633
49,24.5,0.4041037098464389,0.16714171005794817,0.06871190257022146,0.019556502525391272,0.32244072977456495,35.08210670323469
50,25.0,0.4002049690214775,0.1684116715580862,0.07036921234852912,0.02052797207190694,0.3299397194708653,35.11148598914904
51,25.5,0.396334574264596,0.16963882771341823,0.07201505651001824,0.02152536651196727,0.3374507472693566,35.14085067217044
52,26.0,0.39249279630860545,0.17082396018336415,0.07364844708921246,0.022548621418817676,0.34497242561824215,35.17020074514995
53,26.5,0.3886798904446026,0.1719678491118788,0.07526842993152055,0.023597655511997762,0.35250338251091323,35.19953619855566
54,27.0,0.3848961002002047,0.17307127055673327,0.07687408388908377,0.024672370353977957,0.36004225639683474,35.228857022855664
55,27.5,0.3811416506711451,0.1741349987504634,0.078464523530433,0.02577265204795822,0.3675877089552041,35.258163203752076
56,28.0,0.377416742382894,0.17515980779763732,0.08003890169768509,0.026898373121783253,0.3751384375583573,35.287454717415116
57,28.5,0.3737215686034104,0.1761464630700546,0.0815964037632145,0.028049389563320204,0.38269314628644424,35.31673154239798
58,29.0,0.37005631195356864,0.17709572223542414,0.08313624897583669,0.029225541835170253,0.3902505526926083,35.34599365725386
59,29.5,0.36642113809268556,0.17800833732681928,0.08465769284880237,0.030426656731692495,0.3978094002195015,35.37524103576998
60,30.0,0.36281619621673505,0.17888505377426533,0.08616002711519628,0.03165254789380304,0.405368458686067,35.40447364696763
61,30.5,0.3592416257670887,0.17972660707089216,0.08764257737523455,0.03290301478678431,0.4129265131817142,35.433691459868086
62,31.0,0.35569754730402986,0.18053372588830519,0.08910470636174839,0.034177845445916274,0.4204823819495508,35.46289443634369
63,31.5,0.3521840813529575,0.18130712429162774,0.0905458070631452,0.03547681229226933,0.42803488229472614,35.49208254541571
64,32.0,0.34870132995215986,0.18204750859522667,0.09196530925288132,0.03679967719973192,0.43558286570018506,35.521255748956506
65,32.5,0.34524938323627175,0.18275557434715864,0.0933626769577248,0.03814619045884458,0.44312520663914196,35.550414006455426
66,33.0,0.34182831971590216,0.18343200588743735,0.09473740814011129,0.03951609125654893,0.45066080293730676,35.579557275018864
67,33.5,0.33843820369259975,0.18407747691444512,0.09608903538879637,0.04090910900415852,0.45818858170451343,35.60868550698724
68,34.0,0.3350790998514359,0.18469264531500065,0.0974171202395603,0.0423249595940029,0.46570747157612996,35.63779866184993
69,34.5,0.33175105324853127,0.18527815983703838,0.0987212601888576,0.043763351725572525,0.4732164423914712,35.666896689564375
70,35.0,0.32845409567289807,0.18583465752985173,0.1000010859860739,0.04522398581117603,0.48071449393552773,35.69597953532207
71,35.5,0.3251882596422468,0.18636275928023194,0.10125625601779882,0.046706550059722185,0.48820062849499624,35.725047151463436
72,36.0,0.32195355921266217,0.18686307577915176,0.10248646296400375,0.04821072704418206,0.49567388983970556,35.75409948079699
73,36.5,0.3187499987171326,0.18733620459761413,0.10369143007077512,0.049736191614477884,0.5031333465825981,35.783136463748264
74,37.0,0.31557757820923826,0.18778272866917856,0.10487090859564244,0.0512826095259405,0.510578081438285,35.81215804312578
75,37.5,0.3124362882299618,0.1882032178917072,0.1060246792083995,0.05284963966993129,0.5180072023183001,35.84116415935506
76,38.0,0.3093261050285083,0.18859823033667872,0.10715255320418013,0.054436936430632576,0.5254198530369367,35.87015474571272
77,38.5,0.30624700359625534,0.18896830888981248,0.10825436702647523,0.05604414548745672,0.5328151864051331,35.8991297402413
78,39.0,0.3031989451311705,0.18931398459502885,0.10932998634218138,0.05767090893161904,0.5401923910742488,35.92808907383443
79,39.5,0.30018188488010916,0.18963577475819704,0.11037930245819622,0.05931686290349735,0.5475506753850815,35.95703267738572
80,40.0,0.2971957698230021,0.18993418367612405,0.11140223253231947,0.06098163896855412,0.5548892726464253,35.98596047940582
81,40.5,0.29424053423212454,0.19020970367466397,0.1123987205594539,0.06266486653375733,0.5622074513948437,36.01487240125643
82,41.0,0.29131611869310653,0.19046281137687268,0.11336872954575386,0.06436616538426666,0.5695044736211804,36.04376837621416
83,41.5,0.28842243977094784,0.19069397410442457,0.11431225220890792,0.06608515891571942,0.5767796622693987,36.072648318491765
84,42.0,0.2855594249953457,0.19090364324563872,0.11522929711662823,0.06782145964238712,0.5840323234060566,36.10151215898288
85,42.5,0.2827269808740682,0.19109226055075818,0.11611990000734326,0.06957468356783009,0.5912618182689351,36.13035981190026
86,43.0,0.27992501799721314,0.19126025387363763,0.11698411362201508,0.07134443950713391,0.5984675066390697,36.1591912009886
87,43.5,0.27715343545927856,0.19140804016111598,0.11782201284988329,0.07313033652972192,0.6056487824500485,36.18800624284365
88,44.0,0.2744121298239363,0.19153602430403516,0.11863369063021367,0.0749319802418146,0.6128050532899065,36.21680485644413
89,44.5,0.2717009887950775,0.1916446003670736,0.1194192596050733,0.07674897623277536,0.6199357552755465,36.2455869560028
90,45.0,0.26901989974674123,0.19173415080999862,0.12017884820187161,0.07858092624138827,0.6270403329379068,36.27435246049841
91,45.5,0.26636874342716627,0.19180504769048232,0.12091260229026576,0.08042743159208535,0.6341182540472702,36.3031012865267
92,46.0,0.26374739812263687,0.1918576525637198,0.12162068291521479,0.08228809139842826,0.6411689995894344,36.331833353066386
93,46.5,0.26115573177302326,0.19189231756040948,0.12230326852945363,0.08416250713711336,0.648192083030657,36.36054857194727
94,47.0,0.2585936216359824,0.19190938416622302,0.12296054698278618,0.08605027221500813,0.65518700177682,36.389246871679994
95,47.5,0.2560609250013775,0.19190918588427786,0.12359272576054849,0.08795098835379588,0.6621533094667627,36.417928161711366
96,48.0,0.2535575027259007,0.19189204678476707,0.12420002249360738,0.08986425299572452,0.6690905577591556,36.446592361020116
97,48.5,0.2510832150325849,0.19185828240688688,0.1247826659118112,0.0917896616487167,0.6759983061766596,36.475239393350925
98,49.0,0.2486379140952955,0.19180820045431865,0.12534089794238,0.09372681250800555,0.6828761408630954,36.503869177682525
99,49.5,0.2462214497021781,0.19174210090066116,0.12587497095280942,0.09567530344435103,0.6897236601393333,36.53248163537662
100,50.0,0.24383367091581676,0.1916602764366371,0.12638514653434244,0.09763473111320341,0.6965404698449323,36.561076692560874
101,50.5,0.2414744190176941,0.1915630128818669,0.12687169748638538,0.09960469561405333,0.7033262016967978,36.58965427059699
102,51.0,0.23914353964786214,0.19145058965562348,0.12733490276822843,0.10158479292828561,0.7100804809769374,36.618214302761565
103,51.5,0.23684086894267375,0.19132328000274712,0.1277750520243068,0.10357462403027196,0.7168029631421768,36.64675671518227
104,52.0,0.2345662421805458,0.19118135146289297,0.12819244182046324,0.10557378953609761,0.7234933107121125,36.67528143875272
105,52.5,0.2323194871890172,0.19102506592001958,0.1285873774884569,0.10758189440250594,0.7301512111044515,36.703788399600576
106,53.0,0.2301004388833472,0.190854680826899,0.12896016733189228,0.10959853795786118,0.7367763363642673,36.732277540534355
107,53.5,0.2279089213891408,0.19067044849051865,0.12931112862976585,0.11162332649057435,0.7433683922217736,36.760748794830654
108,54.0,0.22574476086586076,0.1904726172786282,0.129640582463506,0.1136558643920047,0.7499270823816545,36.78920210529798
109,54.5,0.22360777610418012,0.1902614311210795,0.12994885663507655,0.1156957611396635,0.7564521348102233,36.8176374099789
110,55.0,0.22149778773694284,0.19003713074462822,0.13023628188222552,0.11774262463620307,0.7629432754176887,36.846054656447876
111,55.5,0.21941460915722205,0.18979995293551424,0.13050319469015811,0.11979606821710523,0.7694002539671464,36.87445378751343
112,56.0,0.21735805258899746,0.1895501315052607,0.13074993465758,0.12185570624816146,0.7758228265649053,36.902834750750024
113,56.5,0.21532792896525152,0.18928789762325784,0.13097684414952815,0.12392115426196212,0.7822107557082008,36.93119749849809
114,57.0,0.21332404506255856,0.18901347962387027,0.13118426891228094,0.12599203140128984,0.788563818652302,36.95954198309806
115,57.5,0.21134620769958778,0.18872710398116832,0.1313725562149223,0.12806795710432123,0.7948817947239768,36.98786816403929
116,58.0,0.2093942168695459,0.1884289942390236,0.13154205688255072,0.13014855700887945,0.8011644860307635,37.01617599604519
117,58.5,0.20746787135094213,0.18811937222831332,0.13169312294243188,0.13223345847831233,0.8074117005481143,37.04446543860512
118,59.0,0.20556696862414284,0.18779845831713657,0.13182610734159245,0.13432229071712784,0.8136232521517052,37.07273645597441
119,59.5,0.20369130226910395,0.18746647099898872,0.13194136452523536,0.13641468720667163,0.8197989686694745,37.10098901240836
120,60.0,0.20184066336398762,0.18712362734205404,0.13203924962640318,0.13851028466755483,0.8259386875975251,37.129223074545294
121,60.5,0.2000148405334836,0.18677014314303492,0.13212011815279628,0.14060872317068485,0.8320422559606823,37.15743861140648
122,61.0,0.1982136212031684,0.18640623342629511,0.13218432529014704,0.14270964508038908,0.8381095262477567,37.18563559677914
123,61.5,0.19643678801240635,0.18603211150441315,0.13223222684076572,0.14481269864241442,0.844140368113188,37.21381400206756
124,62.0,0.19468412372570273,0.18564799053499825,0.13226417730509937,0.14691753343419928,0.8501346524477951,37.241973805824905
125,62.5,0.19295540539421321,0.18525408174339947,0.13228053159288558,0.14902380626950137,0.856092270737675,37.270114981838425
126,63.0,0.19125041033052267,0.18485059641606058,0.1322816427793149,0.15113117547410146,0.862013115396995,37.298237511044285
127,63.5,0.18956891598278275,0.1844377460575169,0.13226786199676852,0.15323930096293145,0.8678970799398485,37.32634138152759
128,64.0,0.18791069008216282,0.18401573871639046,0.13223954141222466,0.15534785478922167,0.8737440929085051,37.354426567075585
129,64.5,0.18627550521808128,0.1835847844477209,0.13219702923299997,0.15745650610119746,0.8795540682173135,37.38249305815635
130,65.0,0.18466312999146994,0.18314509201555504,0.13214067248402406,0.15956493050895054,0.885326935510455,37.41054084285499
131,65.5,0.1830733292898308,0.18269686887273648,0.1320708166880933,0.161672810149339,0.8910626396969403,37.43856990687364
132,66.0,0.1815058675836849,0.18224032252125794,0.13198780463656296,0.16377983025849382,0.8967611295698655,37.46658024068037
133,66.5,0.1799605069411937,0.18177565962787956,0.13189197688286947,0.16588568154805688,0.9024223650377893,37.49457183474328
134,67.0,0.1784370091557143,0.1813030869720184,0.1317836709382717,0.16799005793399516,0.9080463096505474,37.52254468429641
135,67.5,0.17693513479443707,0.18082281099373254,0.1316632214676443,0.17009265774418567,0.9136329341615783,37.55049878695679
136,68.0,0.1754546395309624,0.18033503582357324,0.1315309612554401,0.17219318839002384,0.9191822305045251,37.57843413319248
137,68.5,0.17399528104494896,0.17983996670100183,0.13138721895838976,0.17429135829565903,0.9246941865047585,37.6063507230035
138,69.0,0.17255681523443087,0.1793378079929156,0.13123232021030068,0.1763868815623524,0.9301688001005743,37.63424855638985
139,69.5,0.1711389946085022,0.17882876213117727,0.13106658796074303,0.17847948029957705,0.9356060859513947,37.662127628585566
140,70.0,0.1697415730050721,0.17831303214923658,0.1308903409705492,0.1805688788751417,0.9410060577157603,37.68998794197363
141,70.5,0.16836430294230903,0.17779082010510702,0.13070389455506887,0.18265480739751466,0.9463687384077889,37.717829498937014
142,71.0,0.16700693494378416,0.17726232650418203,0.1305075606768938,0.18473700287513958,0.9516941634833885,37.74565229947573
143,71.5,0.16566922027862044,0.1767277518587672,0.13030164708588257,0.18681520577672936,0.9569823703607206,37.77345634835573
144,72.0,0.16435091016205075,0.17618729611583445,0.1300864575289668,0.18888916119314758,0.9622334017532109,37.80124165272595
145,72.5,0.16305175263401286,0.17564115641486713,0.1298622925373171,0.1909586234138025,0.967447318730909,37.82900821258639
146,73.0,0.16177149688213893,0.17508952978702616,0.12962944813718758,0.19302335019364691,0.9726241836423422,37.856756032703
