,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6193486,0.041203044,0.00025273487,0.0005521793,0.0006459635
1,0.5,6.0,0.61467564,0.04533805,0.0008489974,0.0006044153,0.006099632
2,1.0,6.0,0.6099528,0.049441352,0.0015056692,0.00065835007,0.01165716
3,1.5,6.0,0.6051811,0.053511366,0.0022237487,0.0007149149,0.017320728
4,2.0,6.0,0.60036135,0.05754616,0.0030039884,0.00077546574,0.023092868
5,2.5,6.0,0.5954951,0.06154377,0.0038467236,0.00084109046,0.028975515
6,3.0,6.0,0.5905836,0.065502964,0.0047525726,0.00091329403,0.03497093
7,3.5,6.0,0.58562875,0.069422,0.005721312,0.000993358,0.041079953
8,4.0,6.0,0.5806326,0.07329886,0.0067529865,0.0010828245,0.04730422
9,4.5,6.0,0.57559764,0.07713215,0.007847015,0.0011831094,0.053643957
10,5.0,6.0,0.5705263,0.0809197,0.009002756,0.0012959633,0.060099833
11,5.5,6.0,0.56542146,0.084659815,0.010219689,0.0014225785,0.06667135
12,6.0,6.0,0.56028616,0.08835082,0.011496607,0.0015644599,0.07335805
13,6.5,6.0,0.5551235,0.091990694,0.012832496,0.0017231423,0.08015893
14,7.0,6.0,0.54993695,0.09557766,0.014225904,0.001899967,0.087072656
15,7.5,6.0,0.54472965,0.09910995,0.015675317,0.0020963047,0.09409738
16,8.0,6.0,0.53950536,0.10258563,0.017178994,0.0023135487,0.10123121
17,8.5,6.0,0.53426725,0.10600299,0.018735152,0.0025530625,0.10847241
18,9.0,6.0,0.52901876,0.1093604,0.02034172,0.0028160308,0.11581782
19,9.5,6.0,0.5237634,0.112656444,0.021996643,0.0031036977,0.12326548
20,10.0,6.0,0.5185044,0.1158894,0.023697522,0.003417449,0.13081272
21,10.5,6.0,0.5132447,0.11905804,0.02544218,0.0037584174,0.13845704
22,11.0,6.0,0.5079873,0.12216115,0.027228069,0.0041278247,0.14619577
23,11.5,6.0,0.50273526,0.12519771,0.02905285,0.0045268033,0.15402627
24,12.0,6.0,0.49749076,0.12816678,0.03091393,0.0049564634,0.1619463
25,12.5,6.0,0.49225658,0.13106747,0.03280857,0.0054178033,0.16995251
26,13.0,6.0,0.48703477,0.13389893,0.034734394,0.0059120636,0.17804384
27,13.5,6.0,0.48182732,0.13666107,0.03668886,0.006440116,0.18621704
28,14.0,6.0,0.476636,0.13935313,0.03866903,0.0070032272,0.19447035
29,14.5,6.0,0.47146243,0.141975,0.040672656,0.0076018814,0.20280167
30,15.0,6.0,0.46630824,0.14452659,0.042697158,0.008237319,0.21120888
31,15.5,6.0,0.46117455,0.14700778,0.044739883,0.008910073,0.21968997
32,16.0,6.0,0.45606238,0.1494187,0.04679845,0.009621182,0.22824317
33,16.5,6.0,0.45097286,0.15175974,0.048870485,0.010371229,0.23686695
34,17.0,6.0,0.44590667,0.15403117,0.05095358,0.011160789,0.24555898
35,17.5,6.0,0.44086456,0.15623349,0.053045418,0.011990594,0.25431815
36,18.0,6.0,0.43584713,0.15836696,0.05514365,0.01286112,0.26314238
37,18.5,6.0,0.43085498,0.16043247,0.05724631,0.013772747,0.27202997
38,19.0,6.0,0.42588854,0.16243051,0.059351098,0.014725791,0.28097898
39,19.5,6.0,0.42094794,0.16436203,0.061456006,0.015720705,0.2899883
40,20.0,6.0,0.41603386,0.16622767,0.063559055,0.016757688,0.29905546
41,20.5,6.0,0.41114652,0.16802827,0.06565817,0.017837124,0.308179
42,21.0,6.0,0.40628612,0.1697649,0.067751616,0.018958876,0.31735682
43,21.5,6.0,0.40145302,0.17143822,0.069837466,0.0201232,0.32658708
44,22.0,6.0,0.39664763,0.17304918,0.07191396,0.02133006,0.33586776
45,22.5,6.0,0.39187014,0.1745989,0.07397935,0.02257937,0.3451966
46,23.0,6.0,0.3871208,0.1760883,0.07603194,0.023871144,0.35457182
47,23.5,6.0,0.38240004,0.17751813,0.07807018,0.025205268,0.36399102
48,24.0,6.0,0.37770838,0.17888936,0.08009216,0.026581584,0.37345162
49,24.5,6.0,0.37304598,0.18020329,0.082096785,0.027999846,0.38295192
50,25.0,6.0,0.3684134,0.18146037,0.0840822,0.029460063,0.3924889
51,25.5,6.0,0.3638112,0.18266174,0.08604702,0.030961739,0.4020604
52,26.0,6.0,0.3592398,0.18380822,0.08798975,0.032504722,0.4116638
53,26.5,6.0,0.35469976,0.18490049,0.08990908,0.034088716,0.42129675
54,27.0,6.0,0.35019195,0.18593952,0.09180355,0.03571344,0.4309561
55,27.5,6.0,0.3457167,0.18692583,0.093671665,0.03737855,0.44063967
56,28.0,6.0,0.34127495,0.1878604,0.09551224,0.039083973,0.4503445
57,28.5,6.0,0.33686745,0.18874389,0.09732404,0.040828936,0.46006775
58,29.0,6.0,0.33249488,0.18957664,0.09910557,0.042613283,0.4698068
