,t,Q,TG,DG,MG,G,ME
0,0.0,4.0,0.6202456,0.041833937,0.000156302,0.0006036777,0.00043734722
1,0.5,4.0,0.6156955,0.045671538,0.0009039752,0.00059694983,0.005616335
2,1.0,4.0,0.6111335,0.04947394,0.0016783737,0.0006073732,0.010880826
3,1.5,4.0,0.60656095,0.05323869,0.0024816282,0.0006338153,0.016228357
4,2.0,4.0,0.6019794,0.056963414,0.003315907,0.0006750766,0.021656318
5,2.5,4.0,0.5973903,0.060645588,0.004182633,0.0007303823,0.027162561
6,3.0,4.0,0.5927951,0.06428354,0.00508311,0.0007991437,0.032745413
7,3.5,4.0,0.5881952,0.067875445,0.0060182773,0.0008808244,0.038402587
8,4.0,4.0,0.583592,0.07141951,0.0069889165,0.00097552873,0.044133194
9,4.5,4.0,0.5789867,0.074914604,0.007995326,0.0010830481,0.049935326
10,5.0,4.0,0.57438064,0.078359336,0.009037737,0.0012037624,0.055807963
11,5.5,4.0,0.56977516,0.0817526,0.010116097,0.0013378877,0.061749816
12,6.0,4.0,0.56517166,0.08509359,0.011230174,0.001485901,0.067759804
13,6.5,4.0,0.5605713,0.0883808,0.012379732,0.0016481597,0.07383686
14,7.0,4.0,0.55597544,0.09161401,0.013564128,0.0018255282,0.07997983
15,7.5,4.0,0.55138516,0.09479198,0.014782932,0.002018476,0.08618798
16,8.0,4.0,0.5468019,0.097914055,0.016035054,0.0022275988,0.09245965
17,8.5,4.0,0.5422269,0.10097964,0.017319959,0.0024537686,0.09879423
18,9.0,4.0,0.53766125,0.10398811,0.01863679,0.0026972685,0.10519009
19,9.5,4.0,0.5331062,0.106938854,0.0199846,0.0029588733,0.111646034
20,10.0,4.0,0.5285626,0.109831035,0.021362226,0.003239194,0.11816094
21,10.5,4.0,0.5240319,0.112664536,0.022768695,0.0035390053,0.124733426
22,11.0,4.0,0.5195149,0.115438834,0.024202991,0.0038584191,0.13136159
23,11.5,4.0,0.5150126,0.11815362,0.025663864,0.004198337,0.1380446
