,t,Q,T
0,0.0,6.0,33.709152
1,0.5,6.0,33.772274
2,1.0,6.0,33.833984
3,1.5,6.0,33.894302
4,2.0,6.0,33.953285
5,2.5,6.0,34.010986
6,3.0,6.0,34.06749
7,3.5,6.0,34.122856
8,4.0,6.0,34.17718
9,4.5,6.0,34.23053
10,5.0,6.0,34.282997
11,5.5,6.0,34.334663
12,6.0,6.0,34.385605
13,6.5,6.0,34.4359
14,7.0,6.0,34.48563
15,7.5,6.0,34.53487
16,8.0,6.0,34.58368
17,8.5,6.0,34.63213
18,9.0,6.0,34.680294
19,9.5,6.0,34.72822
20,10.0,6.0,34.775978
21,10.5,6.0,34.823616
22,11.0,6.0,34.871193
23,11.5,6.0,34.91876
24,12.0,6.0,34.96636
25,12.5,6.0,35.01403
26,13.0,6.0,35.06183
27,13.5,6.0,35.10978
28,14.0,6.0,35.15792
29,14.5,6.0,35.206287
30,15.0,6.0,35.254917
31,15.5,6.0,35.30382
32,16.0,6.0,35.35303
33,16.5,6.0,35.402573
34,17.0,6.0,35.452454
35,17.5,6.0,35.50269
36,18.0,6.0,35.5533
37,18.5,6.0,35.60429
38,19.0,6.0,35.65566
39,19.5,6.0,35.70743
40,20.0,6.0,35.75959
41,20.5,6.0,35.812153
42,21.0,6.0,35.86511
43,21.5,6.0,35.918457
44,22.0,6.0,35.972195
45,22.5,6.0,36.02632
46,23.0,6.0,36.080822
47,23.5,6.0,36.13571
48,24.0,6.0,36.190956
49,24.5,6.0,36.24656
50,25.0,6.0,36.30252
51,25.5,6.0,36.358826
52,26.0,6.0,36.41546
53,26.5,6.0,36.472424
54,27.0,6.0,36.5297
55,27.5,6.0,36.587296
56,28.0,6.0,36.645172
57,28.5,6.0,36.70335
58,29.0,6.0,36.761803
59,29.5,6.0,36.82052
60,30.0,6.0,36.879498
61,30.5,6.0,36.93872
62,31.0,6.0,36.998188
63,31.5,6.0,37.057884
64,32.0,6.0,37.117794
65,32.5,6.0,37.177917
66,33.0,6.0,37.238243
67,33.5,6.0,37.29875
68,34.0,6.0,37.359444
69,34.5,6.0,37.420303
70,35.0,6.0,37.481323
71,35.5,6.0,37.542496
72,36.0,6.0,37.603813
73,36.5,6.0,37.66527
74,37.0,6.0,37.726856
75,37.5,6.0,37.78857
76,38.0,6.0,37.850388
77,38.5,6.0,37.91233
78,39.0,6.0,37.97438
79,39.5,6.0,38.03653
80,40.0,6.0,38.098778
81,40.5,6.0,38.16112
82,41.0,6.0,38.223564
83,41.5,6.0,38.286102
84,42.0,6.0,38.348732
85,42.5,6.0,38.41146
86,43.0,6.0,38.47429
87,43.5,6.0,38.5372
88,44.0,6.0,38.600212
89,44.5,6.0,38.66333
90,45.0,6.0,38.726543
91,45.5,6.0,38.789856
92,46.0,6.0,38.85329
93,46.5,6.0,38.91682
94,47.0,6.0,38.98046
95,47.5,6.0,39.044216
96,48.0,6.0,39.108078
97,48.5,6.0,39.17207
98,49.0,6.0,39.236168
99,49.5,6.0,39.300385
100,50.0,6.0,39.364723
101,50.5,6.0,39.429184
102,51.0,6.0,39.49376
103,51.5,6.0,39.55845
104,52.0,6.0,39.62327
105,52.5,6.0,39.688187
106,53.0,6.0,39.753235
107,53.5,6.0,39.818382
108,54.0,6.0,39.883633
109,54.5,6.0,39.948997
110,55.0,6.0,40.01446
111,55.5,6.0,40.080017
112,56.0,6.0,40.14566
113,56.5,6.0,40.211395
114,57.0,6.0,40.277206
115,57.5,6.0,40.343086
116,58.0,6.0,40.409042
117,58.5,6.0,40.47505
118,59.0,6.0,40.54112
119,59.5,6.0,40.60723
120,60.0,6.0,40.673386
121,60.5,6.0,40.739567
122,61.0,6.0,40.805782
123,61.5,6.0,40.87201
124,62.0,6.0,40.938248
125,62.5,6.0,41.004482
126,63.0,6.0,41.070724
127,63.5,6.0,41.136948
128,64.0,6.0,41.20315
129,64.5,6.0,41.269333
130,65.0,6.0,41.335476
131,65.5,6.0,41.40158
132,66.0,6.0,41.467644
133,66.5,6.0,41.533653
134,67.0,6.0,41.599598
135,67.5,6.0,41.665478
136,68.0,6.0,41.73129
137,68.5,6.0,41.79702
138,69.0,6.0,41.86267
139,69.5,6.0,41.92824
140,70.0,6.0,41.99372
141,70.5,6.0,42.059097
142,71.0,6.0,42.124374
143,71.5,6.0,42.18956
144,72.0,6.0,42.254623
145,72.5,6.0,42.319588
146,73.0,6.0,42.38444
147,73.5,6.0,42.449173
148,74.0,6.0,42.513794
149,74.5,6.0,42.578285
150,75.0,6.0,42.64267
151,75.5,6.0,42.706924
152,76.0,6.0,42.771057
153,76.5,6.0,42.835068
154,77.0,6.0,42.898956
155,77.5,6.0,42.962715
156,78.0,6.0,43.026352
157,78.5,6.0,43.08986
158,79.0,6.0,43.153248
159,79.5,6.0,43.216515
160,80.0,6.0,43.279655
161,80.5,6.0,43.342674
162,81.0,6.0,43.405575
163,81.5,6.0,43.468353
164,82.0,6.0,43.531013
165,82.5,6.0,43.59357
166,83.0,6.0,43.656013
