,t,TG,DG,MG,G,ME,T
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0,33.55339813232422
1,0.5,0.6146719671045213,0.043853725065727836,0.000980438137551141,7.694692199691401e-06,0.005043392417429194,33.601896429796845
2,1.0,0.6101901752571738,0.04768128622061345,0.0016199365094244503,2.2427012788290393e-05,0.01019414727782722,33.65036517118572
3,1.5,0.6056714927498398,0.05148441348480208,0.002312976528078016,4.4942237280074296e-05,0.015450900252798338,33.698804806873795
4,2.0,0.6011186657294905,0.055259923684321755,0.003059239825752162,7.599576043558449e-05,0.020812097617132833,33.747215832520624
5,2.5,0.5965344933651423,0.05900469367563138,0.003858287350268311,0.00011635060895798145,0.02627602720304195,33.79559877714746
6,3.0,0.5919217660137971,0.06271571800385549,0.004709565762920535,0.00016677521942686267,0.031840882187977156,33.843954179307474
7,3.5,0.5872832734663492,0.06639010266307054,0.005612407888780371,0.00022804098179984018,0.037504748386030816,33.892282591851696
8,4.0,0.5826217292104575,0.07002513068985486,0.006566044589443478,0.0003009205102440668,0.043265688399474034,33.94058455095032
9,4.5,0.577939770138129,0.07361825966711556,0.007569609494893297,0.00038618569986201615,0.04912174275648822,33.988860576092684
10,5.0,0.5732399344944493,0.07716713716611952,0.008622147195948626,0.0004846061434824228,0.05507095698846406,34.03711116055536
11,5.5,0.5685246573560513,0.08066960025959376,0.009722619795486769,0.0005969475888680832,0.061111389617171566,34.08533676901918
12,6.0,0.5637962611585088,0.08412367863105276,0.010869914563106344,0.0007239706473319866,0.06724112669926144,34.13353783280327
13,6.5,0.5590569416155466,0.08752760068008412,0.012062852863834395,0.0008664298405346746,0.07345830292935697,34.181714742716125
14,7.0,0.5543087757477478,0.09087978098554066,0.01330019577081056,0.0010250724959008414,0.07976109701486432,34.22986785143858
15,7.5,0.5495537140750879,0.09417882059486572,0.014580652232929809,0.001200638097116415,0.0861477463520746,34.277997468757846
16,8.0,0.5447936097470586,0.09742347788972679,0.015902880437625708,0.001393856925588792,0.0926165165417446,34.32610387348243
17,8.5,0.5400301847939046,0.10061268956530764,0.017265500337213354,0.0016054503035743024,0.09916574815045727,34.374187296761264
18,9.0,0.5352650696203695,0.10374553366639339,0.018667092544875988,0.0018361291683611442,0.1057938132612288,34.42224793876454
19,9.5,0.5304997902431604,0.10682123424146038,0.02010620649159355,0.002086594023785641,0.1124991362960044,34.47028596153481
20,10.0,0.5257357863556213,0.10983914221902603,0.021581362334858238,0.002357534090494346,0.11928017616022554,34.5183014961359
21,10.5,0.5209744187066856,0.1127987251475009,0.02309105441029544,0.0026496267355180696,0.126135421174646,34.56629464503588
22,11.0,0.5162169567441754,0.11569957163859677,0.024633758834245335,0.0029635377829824545,0.1330634096560348,34.61426547495816
