,t,Q,T
1443,0.0,5.0,34.0
1445,1.0,5.0,34.0
1447,2.0,5.0,35.0
1449,3.0,5.0,34.0
1451,4.0,5.0,35.0
1453,5.0,5.0,35.0
1455,6.0,5.0,35.0
1457,7.0,5.0,34.0
1459,8.0,5.0,35.0
1461,9.0,5.0,35.0
1463,10.0,5.0,35.0
1465,11.0,5.0,35.0
1467,12.0,5.0,35.0
1469,13.0,5.0,35.0
1471,14.0,5.0,34.0
1473,15.0,5.0,35.0
1475,16.0,5.0,35.0
1477,17.0,5.0,35.0
1479,18.0,5.0,35.0
1481,19.0,5.0,35.0
1483,20.0,5.0,35.0
1485,21.0,5.0,36.0
1487,22.0,5.0,36.0
1489,23.0,5.0,36.0
1491,24.0,5.0,36.0
1493,25.0,5.0,36.0
1495,26.0,5.0,35.0
1497,27.0,5.0,36.0
1499,28.0,5.0,36.0
1501,29.0,5.0,36.0
1503,30.0,5.0,36.0
1505,31.0,5.0,36.0
1507,32.0,5.0,36.0
1509,33.0,5.0,37.0
1511,34.0,5.0,36.0
1513,35.0,5.0,37.0
1515,36.0,5.0,36.0
1517,37.0,5.0,37.0
1519,38.0,5.0,37.0
1521,39.0,5.0,37.0
1523,40.0,5.0,37.0
1525,41.0,5.0,37.0
1527,42.0,5.0,37.0
1529,43.0,5.0,37.0
1531,44.0,5.0,38.0
1533,45.0,5.0,37.0
1535,46.0,5.0,37.0
1537,47.0,5.0,38.0
1539,48.0,5.0,38.0
1541,49.0,5.0,38.0
1543,50.0,5.0,38.0
1545,51.0,5.0,38.0
1547,52.0,5.0,38.0
1549,53.0,5.0,38.0
1551,54.0,5.0,39.0
1553,55.0,5.0,39.0
1555,56.0,5.0,38.0
1557,57.0,5.0,39.0
1559,58.0,5.0,39.0
1561,59.0,5.0,39.0
1563,60.0,5.0,39.0
1565,61.0,5.0,39.0
1567,62.0,5.0,39.0
1569,63.0,5.0,39.0
1571,64.0,5.0,39.0
1573,65.0,5.0,39.0
1575,66.0,5.0,40.0
1577,67.0,5.0,40.0
1579,68.0,5.0,40.0
1581,69.0,5.0,40.0
1583,70.0,5.0,40.0
1585,71.0,5.0,40.0
1587,72.0,5.0,40.0
1589,73.0,5.0,40.0
1591,74.0,5.0,40.0
1593,75.0,5.0,41.0
1595,76.0,5.0,40.0
1597,77.0,5.0,41.0
1599,78.0,5.0,40.0
1601,79.0,5.0,41.0
1603,80.0,5.0,41.0
1605,81.0,5.0,41.0
1607,82.0,5.0,41.0
1609,83.0,5.0,41.0
1611,84.0,5.0,41.0
1613,85.0,5.0,41.0
1615,86.0,5.0,41.0
1617,87.0,5.0,41.0
1619,88.0,5.0,41.0
1621,89.0,5.0,42.0
1623,90.0,5.0,42.0
1625,91.0,5.0,42.0
1627,92.0,5.0,42.0
1629,93.0,5.0,42.0
1631,94.0,5.0,42.0
1633,95.0,5.0,43.0
1635,96.0,5.0,42.0
1637,97.0,5.0,42.0
1639,98.0,5.0,42.0
1641,99.0,5.0,43.0
1643,100.0,5.0,43.0
1645,101.0,5.0,43.0
1647,102.0,5.0,43.0
1649,103.0,5.0,43.0
1651,104.0,5.0,43.0
1653,105.0,5.0,43.0
1655,106.0,5.0,43.0
1657,107.0,5.0,43.0
1659,108.0,5.0,44.0
1661,109.0,5.0,44.0
1663,110.0,5.0,44.0
1665,111.0,5.0,44.0
1667,112.0,5.0,44.0
1669,113.0,5.0,44.0
1671,114.0,5.0,44.0
1673,115.0,5.0,44.0
1675,116.0,5.0,44.0
1677,117.0,5.0,44.0
1679,118.0,5.0,44.0
1681,119.0,5.0,44.0
1683,120.0,5.0,44.0
1685,121.0,5.0,45.0
1687,122.0,5.0,45.0
1689,123.0,5.0,44.0
1691,124.0,5.0,45.0
1693,125.0,5.0,46.0
1695,126.0,5.0,45.0
1697,127.0,5.0,45.0
1699,128.0,5.0,45.0
1701,129.0,5.0,45.0
1703,130.0,5.0,46.0
1705,131.0,5.0,45.0
1707,132.0,5.0,46.0
1709,133.0,5.0,46.0
1711,134.0,5.0,46.0
1713,135.0,5.0,46.0
1715,136.0,5.0,46.0
1717,137.0,5.0,46.0
1719,138.0,5.0,46.0
1721,139.0,5.0,47.0
1723,140.0,5.0,47.0
1725,141.0,5.0,46.0
1727,142.0,5.0,47.0
1729,143.0,5.0,47.0
1731,144.0,5.0,47.0
1733,145.0,5.0,47.0
1735,146.0,5.0,47.0
1737,147.0,5.0,47.0
1739,148.0,5.0,47.0
1741,149.0,5.0,47.0
1743,150.0,5.0,47.0
1745,151.0,5.0,48.0
1747,152.0,5.0,47.0
1749,153.0,5.0,48.0
1751,154.0,5.0,48.0
1753,155.0,5.0,48.0
1755,156.0,5.0,48.0
1757,157.0,5.0,48.0
1759,158.0,5.0,48.0
1761,159.0,5.0,48.0
1763,160.0,5.0,48.0
1765,161.0,5.0,49.0
1767,162.0,5.0,49.0
1769,163.0,5.0,49.0
1771,164.0,5.0,49.0
1773,165.0,5.0,49.0
1775,166.0,5.0,49.0
1777,167.0,5.0,49.0
1779,168.0,5.0,49.0
1781,169.0,5.0,49.0
1783,170.0,5.0,49.0
1785,171.0,5.0,49.0
1787,172.0,5.0,49.0
1789,173.0,5.0,50.0
1791,174.0,5.0,50.0
1793,175.0,5.0,50.0
1795,176.0,5.0,50.0
1797,177.0,5.0,50.0
1799,178.0,5.0,50.0
1801,179.0,5.0,50.0
1803,180.0,5.0,50.0
1805,181.0,5.0,50.0
1807,182.0,5.0,50.0
1809,183.0,5.0,50.0
1811,184.0,5.0,51.0
1813,185.0,5.0,51.0
1815,186.0,5.0,50.0
1817,187.0,5.0,51.0
1819,188.0,5.0,51.0
1821,189.0,5.0,51.0
1823,190.0,5.0,51.0
1825,191.0,5.0,51.0
1827,192.0,5.0,51.0
1829,193.0,5.0,51.0
1831,194.0,5.0,51.0
1833,195.0,5.0,51.0
1835,196.0,5.0,51.0
1837,197.0,5.0,51.0
1839,198.0,5.0,52.0
1841,199.0,5.0,51.0
1843,200.0,5.0,51.0
1845,201.0,5.0,52.0
1847,202.0,5.0,52.0
1849,203.0,5.0,52.0
1851,204.0,5.0,52.0
1853,205.0,5.0,52.0
1855,206.0,5.0,52.0
1857,207.0,5.0,52.0
1859,208.0,5.0,52.0
1861,209.0,5.0,52.0
1863,210.0,5.0,52.0
1865,211.0,5.0,52.0
1867,212.0,5.0,52.0
1869,213.0,5.0,52.0
1871,214.0,5.0,53.0
1873,215.0,5.0,53.0
1875,216.0,5.0,53.0
1877,217.0,5.0,53.0
1879,218.0,5.0,53.0
1881,219.0,5.0,53.0
1883,220.0,5.0,53.0
1885,221.0,5.0,53.0
1887,222.0,5.0,53.0
1889,223.0,5.0,54.0
1891,224.0,5.0,53.0
1893,225.0,5.0,54.0
1895,226.0,5.0,54.0
1897,227.0,5.0,53.0
1899,228.0,5.0,54.0
1901,229.0,5.0,54.0
1903,230.0,5.0,54.0
1905,231.0,5.0,54.0
1907,232.0,5.0,54.0
1909,233.0,5.0,54.0
1911,234.0,5.0,54.0
1913,235.0,5.0,54.0
1915,236.0,5.0,54.0
1917,237.0,5.0,54.0
1919,238.0,5.0,54.0
1921,239.0,5.0,54.0
1923,240.0,5.0,55.0
1925,241.0,5.0,55.0
1927,242.0,5.0,55.0
1929,243.0,5.0,55.0
1931,244.0,5.0,55.0
1933,245.0,5.0,55.0
1935,246.0,5.0,55.0
1937,247.0,5.0,55.0
1939,248.0,5.0,55.0
1941,249.0,5.0,55.0
1943,250.0,5.0,55.0
1945,251.0,5.0,55.0
1947,252.0,5.0,56.0
1949,253.0,5.0,56.0
1951,254.0,5.0,56.0
1953,255.0,5.0,55.0
1955,256.0,5.0,56.0
1957,257.0,5.0,55.0
1959,258.0,5.0,56.0
1961,259.0,5.0,56.0
1963,260.0,5.0,56.0
1965,261.0,5.0,56.0
1967,262.0,5.0,56.0
1969,263.0,5.0,56.0
1971,264.0,5.0,56.0
1973,265.0,5.0,56.0
1975,266.0,5.0,56.0
1977,267.0,5.0,56.0
1979,268.0,5.0,56.0
1981,269.0,5.0,57.0
1983,270.0,5.0,57.0
1985,271.0,5.0,57.0
1987,272.0,5.0,57.0
1989,273.0,5.0,57.0
1991,274.0,5.0,57.0
1993,275.0,5.0,57.0
1995,276.0,5.0,57.0
1997,277.0,5.0,57.0
1999,278.0,5.0,57.0
2001,279.0,5.0,57.0
2003,280.0,5.0,57.0
2005,281.0,5.0,57.0
2007,282.0,5.0,57.0
2009,283.0,5.0,57.0
2011,284.0,5.0,58.0
2013,285.0,5.0,57.0
2015,286.0,5.0,58.0
2017,287.0,5.0,58.0
2019,288.0,5.0,58.0
2021,289.0,5.0,58.0
2023,290.0,5.0,58.0
2025,291.0,5.0,58.0
2027,292.0,5.0,58.0
2029,293.0,5.0,58.0
2031,294.0,5.0,58.0
2033,295.0,5.0,58.0
2035,296.0,5.0,58.0
2037,297.0,5.0,58.0
2039,298.0,5.0,58.0
2041,299.0,5.0,58.0
2043,300.0,5.0,58.0
2045,301.0,5.0,59.0
2047,302.0,5.0,59.0
2049,303.0,5.0,58.0
2051,304.0,5.0,59.0
2053,305.0,5.0,58.0
2055,306.0,5.0,59.0
2057,307.0,5.0,59.0
2059,308.0,5.0,59.0
2061,309.0,5.0,59.0
2063,310.0,5.0,59.0
2065,311.0,5.0,59.0
2067,312.0,5.0,59.0
2069,313.0,5.0,59.0
2071,314.0,5.0,59.0
