,t,Q,T
3542,0.0,4.0,33.0
3543,1.0,4.0,33.0
3544,2.0,4.0,34.0
3545,3.0,4.0,33.0
3546,4.0,4.0,34.0
3547,5.0,4.0,33.0
3548,6.0,4.0,34.0
3549,7.0,4.0,34.0
3550,8.0,4.0,33.0
3551,9.0,4.0,34.0
3552,10.0,4.0,34.0
3553,11.0,4.0,33.0
3554,12.0,4.0,33.0
3555,13.0,4.0,34.0
3556,14.0,4.0,34.0
3557,15.0,4.0,33.0
3558,16.0,4.0,34.0
3559,17.0,4.0,34.0
3560,18.0,4.0,34.0
3561,19.0,4.0,34.0
3562,20.0,4.0,34.0
3563,21.0,4.0,34.0
3564,22.0,4.0,34.0
3565,23.0,4.0,34.0
3566,24.0,4.0,34.0
3567,25.0,4.0,34.0
3568,26.0,4.0,35.0
3569,27.0,4.0,34.0
3570,28.0,4.0,35.0
3571,29.0,4.0,35.0
3572,30.0,4.0,34.0
3573,31.0,4.0,34.0
3574,32.0,4.0,34.0
3575,33.0,4.0,34.0
3576,34.0,4.0,35.0
3577,35.0,4.0,35.0
3578,36.0,4.0,35.0
3579,37.0,4.0,35.0
3580,38.0,4.0,35.0
3581,39.0,4.0,35.0
3582,40.0,4.0,35.0
3583,41.0,4.0,35.0
3584,42.0,4.0,35.0
3585,43.0,4.0,35.0
3586,44.0,4.0,35.0
3587,45.0,4.0,35.0
3588,46.0,4.0,35.0
3589,47.0,4.0,35.0
3590,48.0,4.0,35.0
3591,49.0,4.0,35.0
3592,50.0,4.0,35.0
3593,51.0,4.0,36.0
3594,52.0,4.0,36.0
3595,53.0,4.0,36.0
3596,54.0,4.0,36.0
3597,55.0,4.0,36.0
3598,56.0,4.0,36.0
3599,57.0,4.0,36.0
3600,58.0,4.0,36.0
3601,59.0,4.0,36.0
3602,60.0,4.0,36.0
3603,61.0,4.0,36.0
3604,62.0,4.0,36.0
3605,63.0,4.0,37.0
3606,64.0,4.0,36.0
3607,65.0,4.0,36.0
3608,66.0,4.0,36.0
3609,67.0,4.0,37.0
3610,68.0,4.0,37.0
3611,69.0,4.0,37.0
3612,70.0,4.0,37.0
3613,71.0,4.0,37.0
3614,72.0,4.0,37.0
3615,73.0,4.0,37.0
3616,74.0,4.0,37.0
3617,75.0,4.0,37.0
3618,76.0,4.0,37.0
3619,77.0,4.0,38.0
3620,78.0,4.0,37.0
3621,79.0,4.0,37.0
3622,80.0,4.0,37.0
3623,81.0,4.0,37.0
3624,82.0,4.0,38.0
3625,83.0,4.0,38.0
3626,84.0,4.0,37.0
3627,85.0,4.0,38.0
3628,86.0,4.0,38.0
3629,87.0,4.0,38.0
3630,88.0,4.0,38.0
3631,89.0,4.0,38.0
3632,90.0,4.0,38.0
3633,91.0,4.0,38.0
3634,92.0,4.0,38.0
3635,93.0,4.0,38.0
3636,94.0,4.0,38.0
3637,95.0,4.0,38.0
3638,96.0,4.0,38.0
3639,97.0,4.0,39.0
3640,98.0,4.0,39.0
3641,99.0,4.0,39.0
3642,100.0,4.0,39.0
3643,101.0,4.0,38.0
3644,102.0,4.0,39.0
3645,103.0,4.0,39.0
3646,104.0,4.0,39.0
3647,105.0,4.0,39.0
3648,106.0,4.0,39.0
3649,107.0,4.0,39.0
3650,108.0,4.0,39.0
3651,109.0,4.0,39.0
3652,110.0,4.0,39.0
3653,111.0,4.0,39.0
3654,112.0,4.0,40.0
3655,113.0,4.0,40.0
3656,114.0,4.0,40.0
3657,115.0,4.0,40.0
3658,116.0,4.0,39.0
3659,117.0,4.0,39.0
3660,118.0,4.0,40.0
3661,119.0,4.0,40.0
3662,120.0,4.0,40.0
3663,121.0,4.0,40.0
3664,122.0,4.0,40.0
3665,123.0,4.0,40.0
3666,124.0,4.0,40.0
3667,125.0,4.0,41.0
3668,126.0,4.0,40.0
3669,127.0,4.0,41.0
3670,128.0,4.0,40.0
3671,129.0,4.0,40.0
3672,130.0,4.0,41.0
3673,131.0,4.0,40.0
3674,132.0,4.0,41.0
3675,133.0,4.0,41.0
3676,134.0,4.0,41.0
3677,135.0,4.0,41.0
3678,136.0,4.0,41.0
3679,137.0,4.0,41.0
3680,138.0,4.0,41.0
3681,139.0,4.0,41.0
3682,140.0,4.0,41.0
3683,141.0,4.0,42.0
3684,142.0,4.0,42.0
3685,143.0,4.0,42.0
3686,144.0,4.0,41.0
3687,145.0,4.0,42.0
3688,146.0,4.0,41.0
3689,147.0,4.0,42.0
3690,148.0,4.0,42.0
3691,149.0,4.0,42.0
3692,150.0,4.0,42.0
3693,151.0,4.0,42.0
3694,152.0,4.0,42.0
3695,153.0,4.0,42.0
3696,154.0,4.0,42.0
3697,155.0,4.0,42.0
3698,156.0,4.0,42.0
3699,157.0,4.0,42.0
3700,158.0,4.0,42.0
3701,159.0,4.0,43.0
3702,160.0,4.0,43.0
3703,161.0,4.0,42.0
3704,162.0,4.0,43.0
3705,163.0,4.0,42.0
3706,164.0,4.0,42.0
